Continent,Region,Subregion,Stock,Group,Name,ScientificName,SpecCode,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,MSYBtrigger,Fmsy,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,btype,e.creep,force.cmsy,Comments,
Europe,Northern Europe,NA,bwq.27.2425,NA,Flounder (Platichthys spp) in subdivisions 24 and 25 (west of Bornholm and southwestern central Baltic),Platichthys,,https://standardgraphs.ices.dk/stockList.aspx,1973,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.36,0.86,0.01,0.2,NA,NA,NA,0.2,0.6,CPUE,NA,FALSE,F-age:  ; type of abundance: Index. RF OK,
North America,California Current,California,Cabezon - California,NA,Cabezon,Scorpaenichthys marmoratus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2008,1950,2001,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.75,0.85,NA,NA,NA,0.01,0.4,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis (SS). RF OK,
North America,California Current,Northern California,Cabezon - Northern California,NA,Cabezon,Scorpaenichthys marmoratus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2018,1950,2005,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.75,0.85,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,California Current,Oregon,Cabezon - Oregon,NA,Cabezon,Scorpaenichthys marmoratus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1970,2018,1970,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.9,1,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,California Current,Southern California,Cabezon - Southern California,NA,Cabezon,Scorpaenichthys marmoratus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2018,1940,2004,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.85,0.95,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,California Current,Southern California,California scorpionfish - Southern California,NA,California scorpionfish,Scorpaena guttata,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2016,1950,2016,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.6,1,NA,NA,NA,0.01,0.4,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis. RF OK,
North America,ICCAT,Northern Gulf of Mexico,Call_sap_NGoMex,"Lobsters, crabs",Blue crab in Northern Gulf of Mexico,Callinectes sapidus,,SFP (2019) Blue crab U.S. NW Gulf of Mexico. FishSource profile. In FishSource [online]. Accessed [1 August 2019]. https://www.fishsource.org/stock_page/723,1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.4,0.9,0.6,1,NA,NA,NA,0.1,0.5,CPUE,NA,F,"High resilience assumed based on similar crab taxa. Changed intb based on CPUE data, q to 10 recent years covered by CPUE data. RF OK",
North America,NAFO; NASCO; ICCAT,Virginian,Call_sap_Virginian,"Lobsters, crabs",Blue crab in Virginian,Callinectes sapidus,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.4,0.9,0.4,0.8,NA,NA,NA,0.1,0.5,CPUE,NA,F,Changed res=Medium. CPUE recommended. RF OK,
North America,California Current,Pacific Coast,Canary rockfish - Pacific Coast,NA,Canary rockfish,Sebastes pinniger,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1892,2018,1950,1994,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.7,0.9,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,California Current,Southern Pacific Coast,Chilipepper - Southern Pacific Coast,NA,Chilipepper,Sebastes goodei,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1892,2016,1944,2000,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.85,0.95,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis. RF OK,
North America,California Current,Central Pacific Coast,China rockfish - Central Pacific Coast,NA,China rockfish,Sebastes nebulosus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1900,2018,1980,2012,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.121799,0.276815,0.7,0.9,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,California Current,Southern Pacific Coast,China rockfish - Southern Pacific Coast,NA,China rockfish,Sebastes nebulosus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1900,2018,1950,2000,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.121799,0.276815,0.8,0.9,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,California Current,California Central Valley: Sacramento River Fall,Chinook salmon - California Central Valley: Sacramento River Fall,NA,Chinook salmon,Oncorhynchus tshawytscha,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1983,2018,1983,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.249258,0.566496,0.2,0.4,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Aggregate Age Abundance Index,
North America,California Current,Columbia River Basin: Lower River Hatchery Spring,Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,NA,Chinook salmon,Oncorhynchus tshawytscha,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1991,2017,1996,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.249258,0.566496,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Index Method,
North America,California Current,Columbia River Basin: Mid-River Bright Hatchery Fall,Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,NA,Chinook salmon,Oncorhynchus tshawytscha,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1982,2017,1982,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.249258,0.566496,0.01,0.1,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Cohort Analysis,
North America,California Current,Columbia River Basin: Upper Willamette Spring,Chinook salmon - Columbia River Basin: Upper Willamette Spring,NA,Chinook salmon,Oncorhynchus tshawytscha,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1991,2017,1991,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.249258,0.566496,0.3,0.4,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Cohort Analysis,
North America,California Current,Northern California Coast: Klamath River Fall,Chinook salmon - Northern California Coast: Klamath River Fall,NA,Chinook salmon,Oncorhynchus tshawytscha,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1991,2019,1991,2019,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.249258,0.566496,0.01,0.1,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Cohort Analysis,
North America,California Current,Washington Coast: Grays Harbor Fall,Chinook salmon - Washington Coast: Grays Harbor Fall,NA,Chinook salmon,Oncorhynchus tshawytscha,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1991,2016,1991,2016,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.249258,0.566496,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Cohort Analysis,
North America,California Current,Washington Coast: Grays Harbor Spring,Chinook salmon - Washington Coast: Grays Harbor Spring,NA,Chinook salmon,Oncorhynchus tshawytscha,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1991,2016,1991,2016,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.249258,0.566496,0.4,0.5,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Cohort Analysis,
North America,California Current,Washington Coast: Hoh Spring/Summer,Chinook salmon - Washington Coast: Hoh Spring/Summer,NA,Chinook salmon,Oncorhynchus tshawytscha,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1991,2017,1991,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.249258,0.566496,NA,NA,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Cohort Analysis,
North America,California Current,Washington Coast: Quillayute Spring/Summer,Chinook salmon - Washington Coast: Quillayute Spring/Summer,NA,Chinook salmon,Oncorhynchus tshawytscha,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1991,2016,1991,2016,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.249258,0.566496,0.3,0.7,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Cohort Analysis,
North America,Nova Scotia,Scotian shelf,Chio_opi_ScotianShelf,"Lobsters, crabs",Snow crab,Chionoecetes opilio,,https://waves-vagues.dfo-mpo.gc.ca/Library/40681804.pdf,1950,2018,1999,2016,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.38,0.87,0.5,0.7,NA,NA,NA,0.01,0.4,CPUE,NA,F,RF OK.,
North America,Northeast Shelf,Southern New England / Mid-Atlantic,Clearnose skate - Southern New England / Mid-Atlantic,NA,Clearnose skate,Raja eglanteria,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1968,2018,1977,2016,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.1,0.2,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: Index Method,
North America,NAFO; NASCO; ICCAT,Gulf of Maine/Bay of Fundy,Clup_har_Maine,Medium pelagics (30 - 89 cm),Atlantic herring in Gulf of Maine/Bay of Fundy,Clupea harengus,,"Deroba, J.J. (2015) Atlantic Herring Operational Assessment Report 2015. US Dept. Commer., Northeast Fish. Sci. Cent. Ref. Doc. 15-16. 30 p.",1965,2014,1965,1996,NA,NA,NA,NA,NA,NA,0.24,NA,Medium,0.3,0.682,0.4,0.5,NA,NA,NA,NA,NA,CPUE,NA,F,"SAU run with stb=0.4-0.8 (from 0.01-0.4), intb=1980, 0.01-0.2 (from 1975, 0.01-0.4), endb=0.4-0.8 (from NA), q=1985-1995. CPUE=SSB. Medium reslience assumed from r range. RF set stb to low because stock was probably already depleted in 1950. RF OK 12/06/18. changed startyear=1965 CPUE first year; set stb=0.4-0.8; left all other settings intact based on RF's instructions",
North America,NAFO; NASCO; ICCAT,Scotian Shelf,Clup_har_ScotianShelf,Medium pelagics (30 - 89 cm),Atlantic herring in Scotian Shelf,Clupea harengus,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1965,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.3,0.68,0.3,0.7,NA,NA,NA,0.01,0.3,CPUE,NA,F,Clup_har_ScotianShelf. OK RF,
North America,NAFO; NASCO; ICCAT,Virginian,Clup_har_Virginian,Medium pelagics (30 - 89 cm),Atlantic herring in Virginian,Clupea harengus,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.3,0.68,0.8,1,NA,NA,NA,0.5,0.9,CPUE,NA,F,"Reinstate r range, changed stb=0.6-1.0, intb and endb to NA. Reason for peak catch, possible phase shift? Adjusted end bio to 0.5-0.9. RF OK",
North America,PSC; IPHC; NPAFC; IATTC,"Oregon, Washington, Vancouver Coast and Shelf",Clup_pal_OregonWashingtonVancouver,Medium pelagics (30 - 89 cm),"Pacific herring in Oregon, Washington, Vancouver Coast and Shelf",Clupea pallasii pallasii,,"Thompson, S.A., et al. (2017) Trends in the Pacific herring (Clupea Pallasi) metapopulation in the California current ecosystem. California Cooperative Oceanic Fisheries Investigations Reports 58:77-94.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.84,0.2,0.6,NA,NA,NA,0.01,0.25,CPUE,NA,F,"SSB from West Coast Vancouver Island and Yaquina Bay. Changed r range to NA and intb to confirm with CPUE. reinstated resilience; set startyear=1980, stb=0.01-0.4 based on CPUE. RF OK",
North America,Gulf of Mexico,Gulf of Mexico,Cobia - Gulf of Mexico,NA,Cobia,Rachycentron canadum,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1927,2018,1970,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.413151,0.93898,0.5,0.7,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS3. RF OK,
North America,Southeast Shelf,Southern Atlantic Coast,Cobia - Southern Atlantic Coast,NA,Cobia,Rachycentron canadum,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1986,2017,1986,2017,NA,NA,NA,NA,NA,NA,0.460999995470047,NA,Medium,0.413151,0.93898,0.5,0.6,NA,NA,NA,0.2,0.6,CPUE,NA,FALSE,NOAA Assessment model: BAM. RF OK,
North America,Northern Europe,NA,cod.21.1,NA,Cod (Gadus morhua) in NAFO Subarea 1. inshore (West Greenland cod),Gadus morhua,69,https://standardgraphs.ices.dk/stockList.aspx,1976,2020,1976,2019,NA,NA,4346,5983,NA,5983,0.27,NA,Medium,0.342694,0.77885,0.5,0.8,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,F-age: 4-8 ; type of abundance: SSB. RF OK,
North America,Northern Europe,NA,cod.2127.1f14,NA,Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland. South Greenland),Gadus morhua,69,https://standardgraphs.ices.dk/stockList.aspx,1973,2020,1973,2019,2.34,1.33,10354,14803,NA,14803,0.46,NA,Medium,0.342694,0.77885,0.5,0.6,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,F-age: 5-10 ; type of abundance: SSB. RF OK,
Europe,Northern Europe,NA,cod.27.1-2,NA,Cod (Gadus morhua) in subareas 1 and 2 (Northeast Arctic),Gadus morhua,69,https://standardgraphs.ices.dk/stockList.aspx,1946,2020,1950,2019,0.74,0.4,220000,460000,NA,460000,0.4,NA,Medium,0.342694,0.77885,0.2,0.4,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,F-age: 5-10 ; type of abundance: SSB. RF OK,
Europe,Northern Europe,NA,cod.27.21,NA,Cod (Gadus morhua) in Subdivision 21 (Kattegat),Gadus morhua,69,https://standardgraphs.ices.dk/stockList.aspx,1997,2020,1997,2019,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.342694,0.77885,0.2,0.4,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: Stock Size: Relative,
Europe,Northern Europe,NA,cod.27.22-24,NA,Cod (Gadus morhua) in subdivisions 22-24. western Baltic stock (western Baltic Sea),Gadus morhua,69,https://standardgraphs.ices.dk/stockList.aspx,1985,2020,1985,2019,1.45,0.99,14500,21876,NA,21876,0.26,NA,Medium,0.342694,0.77885,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 3-5 ; type of abundance: SSB,
Europe,Northern Europe,NA,cod.27.24-32,NA,Cod (Gadus morhua) in subdivisions 24-32. eastern Baltic stock (eastern Baltic Sea),Gadus morhua,69,https://standardgraphs.ices.dk/stockList.aspx,1946,2020,1950,2019,NA,NA,102702,114723,NA,NA,NA,NA,Medium,0.342694,0.77885,0.15,0.25,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 4-6 ; type of abundance: SSB,
Europe,Northern Europe,NA,cod.27.47d20,NA,Cod (Gadus morhua) in Subarea 4. Division 7.d. and Subdivision 20 (North Sea. eastern English Channel. Skagerrak),Gadus morhua,69,https://standardgraphs.ices.dk/stockList.aspx,1963,2020,1963,2019,0.54,0.39,107000,150000,NA,150000,0.31,NA,Medium,0.342694,0.77885,0.2,0.3,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age: 2-4 ; type of abundance: SSB,
Europe,Northern Europe,NA,cod.27.6a,NA,Cod (Gadus morhua) in Division 6.a (West of Scotland),Gadus morhua,69,https://standardgraphs.ices.dk/stockList.aspx,1981,2020,1981,2019,0.73,0.52,14376,20126,NA,20126,0.3,NA,Medium,0.342694,0.77885,0.5,0.7,NA,NA,NA,0.02,0.2,CPUE,NA,FALSE,F-age: 2-5 ; type of abundance: SSB. RF OK,
Europe,Northern Europe,NA,cod.27.7e-k,NA,Cod (Gadus morhua) in divisions 7.e-k (eastern English Channel and southern Celtic Seas),Gadus morhua,69,https://standardgraphs.ices.dk/stockList.aspx,1980,2020,1980,2019,1.13,0.77,4200,5800,NA,5800,0.29,NA,Medium,0.342694,0.77885,0.3,0.5,NA,NA,NA,0.02,0.15,CPUE,NA,FALSE,F-age: 2-5 ; type of abundance: SSB. RF OK,
North America,California Current,Pacific Coast,Copper rockfish - Pacific Coast,NA,Copper rockfish,Sebastes caurinus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2012,1950,1994,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.121304,0.275692,0.7,0.9,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: Extended DB-SRA. RF OK,
North America,NAFO; NASCO; ICCAT,"Scotian Shelf, Gulf of St. Lawrence - Eastern Scotian Shelf, Southern Grand Banks - South Newfoundland, Northern Grand Banks - Southern Labrador and Northern Labrador",Cory_rup_CanadaEastCoast,Large bathypelagics (>=90 cm),"Roundnose grenadier in Scotian Shelf, Gulf of St. Lawrence - Eastern Scotian Shelf, Southern Grand Banks - South Newfoundland, Northern Grand Banks - Southern Labrador and Northern Labrador",Coryphaenoides rupestris,,"Simpson, M.R., et al. (2011) Recovery potential assessment for roundnose grenadier (Coryphaenoides Rupestris Gunnerus, 1765) in Northwest Atlantic waters. DFO Can. Sci. Advis. Sec. Res. Doc. 2011/077. vi + 68 p.",1965,2018,1965,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.23,0.53,0.8,1,NA,NA,NA,0.01,0.2,CPUE,NA,F,RF OK,
North America,California Current,Southern California,Cowcod - Southern California,NA,Cowcod,Sebastes levis,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1900,2018,1944,1991,NA,NA,NA,NA,NA,NA,NA,NA,Very low,0.181614,0.41276,0.8,0.9,NA,NA,NA,0.03,0.25,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,NAFO; NASCO; ICCAT,Virginian,Cras_vir_Virginian,Other demersal invertebrates,American cupped oyster in Virginian,Crassostrea virginica,,"Mann, R., et al. (2009) Population studies of the native eastern oyster Crassostrea virginica, (Gemlin, 1791) in the James River, Virginia, USA. Journal of Shellfish Research 28(2):193-220.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,0.2,0.6,NA,NA,NA,0.01,0.2,CPUE,NA,F,change btype to CPUE (data is recruitment biomass not total biomass); reinstated resilience; changed stb (02-0.6) to NA. RF OK,
North America,NAFO; NASCO; ICCAT,"Gulf of Maine/Bay of Fundy, Scotian Shelf, Gulf of St. Lawrence - Eastern Scotian Shelf, Southern Grand Banks - South Newfoundland, Northern Grand Banks - Southern Labrador and Northern Labrador",Cycl_lum_CanadaEastCoast,Medium benthopelagics (30 - 89 cm),"Lumpfish in Gulf of Maine/Bay of Fundy, Scotian Shelf, Gulf of St. Lawrence - Eastern Scotian Shelf, Southern Grand Banks - South Newfoundland, Northern Grand Banks - Southern Labrador and Northern Labrador",Cyclopterus lumpus,,,1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.11,0.27,0.4,0.8,NA,NA,NA,0.01,0.2,CPUE,NA,F,RF OK,
North America,NAFO; NASCO; ICCAT,Virginian,Cyno_reg_Virginian,Medium demersals (30 - 89 cm),Squeteague in Virginian,Cynoscion regalis,,ASMFC (2019) Weakfish Stock Assessment Update Report. In: Atlantic States Marine Fisheries Commission Stock Assessment Reports. [Accessed 5 February 2020]. Retrieved http://www.asmfc.org/uploads/file/5de7fc7c2019WeakfishAssessmentUpdate.pdf,1950,2018,1980,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.1,0.4,NA,NA,NA,0.01,0.1,CPUE,NA,F,"Ignore first four points of data, changed q.start 1986. RF OK",
Europe,Northern Europe,NA,dab.27.22-32,NA,Dab (Limanda limanda) in subdivisions 22-32 (Baltic Sea),Limanda limanda,,https://standardgraphs.ices.dk/stockList.aspx,1970,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.477909,1.08616,0.01,0.25,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: B_index,
North America,California Current,Pacific Coast,Darkblotched rockfish - Pacific Coast,NA,Darkblotched rockfish,Sebastes crameri,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1915,2018,1970,2005,NA,NA,NA,NA,NA,NA,NA,NA,Very low,0.0611188,0.138906,0.6,0.7,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
Europe,Northern Europe,NA,dgs.27.nea,NA,Spurdog (Squalus acanthias) in subareas 1-10. 12 and 14 (the Northeast Atlantic and adjacent waters),Squalus acanthias,,https://standardgraphs.ices.dk/stockList.aspx,1905,2020,1950,2010,NA,NA,NA,NA,NA,677068,NA,NA,Very low,0.0387694,0.122044,0.75,0.85,NA,NA,NA,0.02,0.25,CPUE,NA,FALSE,F-age: 5-30 ; type of abundance: SSB. RF OK,
Africa,ICCAT,Sahelian Upwelling,Dice_pun_Sahelian,Medium pelagics (30 - 89 cm),Spotted seabass in Sahelian Upwelling,Dicentrarchus punctatus,,"Meissa, B., and Gascuel, D. (2015) Overfishing of marine resources: some lessons from the assessment of demersal stocks off Mauritania. ICES Journal of Marine Science 72(2):414-427.",1950,2018,1970,2018,NA,NA,NA,NA,NA,NA,0.28,NA,Medium,NA,NA,0.8,1,NA,NA,NA,0.01,0.3,CPUE,NA,F,"Meissa & Gascuel report that the main fishing resource (coastal demersal fish) of mauritania ""were little exloited until the end of the 1960's"". Gascuel, Zeller, Taleb Sidi & Pauly ""Reconstructed catches in the mauritanian EEZ"" also say the fishery for demersal fish (dominated by the industrial fishery) did not begin till 1960. Thus, changed styr=1960. Set start year to 1970, adjusted int. bio to 2001, 0.01-0.2. RF OK",
Europe,GFCM; ICCAT,Aegean Sea,Dipl_ann_Aegean,Small benthopelagics (<30 cm),Annular seabream in Aegean Sea,Diplodus annularis,,"Froese, R., et al. (2016) Exploitation and status of European stocks. Retrieved http://oceanrep.geomar.de/34476/",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.5,1.13,0.7,1,NA,NA,NA,0.01,0.3,CPUE,NA,F,RF OK,
South America,SPRFMO; IATTC,Channels and Fjords of Southern Chile,Diss_ele_ChannelsFjordsSChile,Large bathydemersals (>=90 cm),Patagonian toothfish in Channels and Fjords of Southern Chile,Dissostichus eleginoides,,"Moreno, C.A., and Castro, R. (2008) Significant conservation benefits obtained from the use of a new fishing gear in the Chilean Patagonian toothfish fishery. CCAMLR Science 15:79-91.",1962,2018,1978,2018,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.25,0.57,0.6,1,NA,NA,NA,0.01,0.2,CPUE,NA,F,"Highest record hit in 1994, catch shown to be reliable, in my original run I used the 4 years of non-consecutive CPUE data (2000-2001 and 2004-2005), to adjust into an int. biomass window for 2005 (0.01-0.4), but then for the most up to date run, I used the LBB data and outputs (recieved from Emmie) and adjusted int. biomass windows to 2006 (0.07-1.1), should I keep this or return back to original int. bio. windows? Set interbio at 2005 to 0.1-0.4 to reflect original comment. RF OK",
North America,Alaska Ecosystem Complex,Gulf of Alaska,Dusky rockfish - Gulf of Alaska,NA,Dusky rockfish,Sebastes variabilis,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1977,2017,1985,2017,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.133056,0.302401,0.15,0.25,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: Custom SCAA. RF OK,
Africa,ICCAT,Namib,Engr_cap_Namib,Small pelagics (<30 cm),Southern African anchovy in Namib,Engraulis capensis,,"Crawford, R. (2007) Food, fishing and seabirds in the Benguela upwelling system. Journal of Ornithology 148(2):253-260.",1964,2018,1964,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.31,0.71,0.8,1,NA,NA,NA,0.01,0.2,CPUE,NA,F,RF OK,
Europe,GFCM; ICCAT,Adriatic Sea,Engr_enc_Adriatic,Small pelagics (<30 cm),European anchovy in Adriatic Sea,Engraulis encrasicolus,,"Froese, R., et al. (2016) Exploitation and status of European stocks. Retrieved http://oceanrep.geomar.de/34476/",1950,2018,1950,2018,NA,NA,NA,91872,NA,NA,0.554,NA,Medium,0.39,0.91,0.6,1,NA,NA,NA,0.2,0.6,CPUE,NA,F,"Changed stb=0.6-1.0, intb=1979 (0.4-0.8) based on CPUE trend. RF OK 19/02/18. RF OK",
Asia,WCPFC,South Kuroshio,Engr_jap_SKuroshio,Small pelagics (<30 cm),Japanese anchovy in South Kuroshio,Engraulis japonicus,,"Ohkuma, K., et al. (2000) Distribution and biological characters of pink (Oncorhynchus gorbuscha) and masu salmon (O. maosu) in the Sea of Japan. Bulletin of the National Salmon Resources Center 3:1-10.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.4,0.8,NA,NA,NA,0.1,0.5,CPUE,NA,F,Changed r=0.93-3.32 to NA. RF OK,
